timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
"8/5/2021 19:34"|NNN000926|DSC_0814.Trip4.JPG|"Vino Reno wall mounted sign, Reno, Nevada"|"<p>A wall mounted sign for Vino Reno during the day with unlit neon.</p>"|"Durham, Will"|XXXX|"Vino Reno"|"6522 S McCarran Blvd, Reno, NV 89509"|"39.4760364, -119.800367"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/5/2021 19:42"|NNN000927|DSC_0830.Trip4.JPG|"Vivian's Psychic Readings window signs, Reno, Nevada"|"<p>Signs in the window of Vivian's Psychic Readings during the day.</p>"|"Durham, Will"|XXXX|"Vivians Psychic Readings"|"1490 Mill Street Reno, NV 89502 USA"|"39.5228045, -119.7922683"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Fortune Telling -- http://id.worldcat.org/fast/933068"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"|||||2016~/2020~
"8/5/2021 19:51"|NNN000928|DSC_0829.Trip4.JPG|"Wayside Motel double mounted sign, Reno, Nevada"|"<p>The double mounted sign for the Wayside Motel during the day with lit neon.</p>"|"Durham, Will"|XXXX|"Wayside Motel"|"100 Linden St, Reno, NV 89502"|"39.4995797, -119.7986711"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/5/2021 20:27"|NNN000929|"DSC_0639.Trip4.JPG; DSC_0693.Trip4.JPG"|"Whispering Vine Wine Co mounted sign, Reno, Nevada"|"<p>A mounted sign for Whispering Vine Wine Co during the day with unlit neon and at night with lit neon.</p>"|"Durham, Will"|XXXX|"Whispering Vine Wine Co"|||||"lit, unlit"|"day, night"|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 18:20"|NNN000930|"DSC_0745.Trip4.JPG; DSC_0746.Trip4.JPG; DSC_0747.Trip4.JPG"|"Carl's - The Saloon double mounted roof sign, Reno, Nevada"|"<p>The double mounted roof sign for Carl's - The Saloon at night with lit neon.</p>"|"Durham, Will"|XXXX|"Carl's - The Saloon"|"3310 S Virginia St, Reno, NV 89502"|"39.4931328, -119.7968395"|||lit|night|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 18:34"|NNN000931|DSC_0767.Trip4.JPG|"Evergreen Trailer Park flag mounted sign, Reno, Nevada"|"<p>The flag mounted sign for Evergreen Trailer Park during the day with unlit neon.</p>"|"Durham, Will"|XXXX|"Evergreen Trailer Park"|"12955 S Virginia St, Reno, NV 89511"|"39.4160571, -119.7555767"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Mobile Home Park -- http://id.worldcat.org/fast/1024236"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 18:40"|NNN000932|DSC_0869.Trip4.JPG|"Road Runner Motel flag mounted sign, Schurz, Nevada"|"<p>The flag mounted sign for the Road Runner Motel during the day with the neon removed. The motel is permanently closed.</p>"|"Durham, Will"|XXXX||||||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 18:50"|NNN000933|DSC_0849.Trip4.JPG|"Boulevard Pizza wall mounted sign, Sparks, Nevada"|"<p>A wall mounted sign for Boulevard Pizza during the day.</p>"|"Durham, Will"|1998|"Chuck's Boulevard Pizza"|"1076 Rock Blvd, Sparks, NV 89431"|"39.542502, -119.7643719"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 18:53"|NNN000934|DSC_0850.Trip4.JPG|"Boulevard Pizza wall mounted sign, Sparks, Nevada"|"<p>A wall mounted sign for Boulevard Pizza during the day.</p>"|"Durham, Will"|1998|"Chuck's Boulevard Pizza"|"1076 Rock Blvd, Sparks, NV 89431"|"39.542502, -119.7643719"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 19:39"|NNN000935|"DSC_0839.Trip4.JPG; DSC_0840.Trip4.JPG"|"Greenbrae Commons roof mounted sign, Sparks, Nevada"|"<p>A roof mounted sign for the Greenbrae Commons during the day with unlit neon.</p>"|"Durham, Will"|XXXX|"Greenbrae Commons"|"670 Greenbrae Dr, Sparks, NV 89431"|"39.5487842, -119.7514923"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
