timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
"7/14/2021 20:04"|NNN000706|"DSC_0407.Trip2.JPG; DSC_0409.Trip2.JPG; DSC_0410.Trip2.JPG; DSC_0411.Trip2.JPG; DSC_0412.Trip2.JPG; DSC_0642.Trip4.JPG"|"Mi Casa Too! double mounted sign, Reno, Nevada"|"<p>View of the double mounted sign for Mi Casa Too during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"2205 W 4th St, Reno, NV 89503"|"39.5230145, -119.8390868"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000706-001|||||||||||||||||||||||||||
|NNN000706-002|||||||||||||||||||||||||||
|NNN000706-003|||||||||||||||||||||||||||
|NNN000706-004|||||||||||||||||||||||||||
|NNN000706-005|||||||||||||||||||||||||||
|NNN000706-006|||||||||||||||||||||||||||
"7/15/2021 18:35"|NNN000707|"DSC_0114.Trip2.JPG; DSC_0115.Trip2.JPG;  DSC_0116.Trip2.JPG"|"Midtown Motel flag mounted sign, Reno, Nevada"|"<p>View of the Midtown Motel during the day with unlit neon. A detail shot of the office sign is included.</p>"|"Durham, Will"|XXXX||"611 W 2nd St, Reno, NV 89503"|"39.5255128, -119.8213371"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000707-001|||||||||||||||||||||||||||
|NNN000707-002|||||||||||||||||||||||||||
