timestamp,did,unr-file-name,unr-title,unr-desc,creator,date-inst,site-name,site-address,lat-lon,sign-manf,sign-owner,lit-unlit,time-day,subj-fast,print-pub,rights,format,dcmi,prov,proj-name,unr-cit,corr-guide,dig-pub,contrib,int-ext,rights-owner,date-img
7/3/2021 10:48:52,NNN000640,DSC_0340.Trip2.JPG; DSC_0341.Trip2.JPG,"Casale's Halfway Club flag mounted wall sign, Reno, Nevada","<p>View of the clown sign for the Circus Circus during the day with unlit neon.</p><p>500 N Sierra St, Reno, NV 89503</p></br>","Durham, Will",1944,,"<p>2501 E 4th St, Reno, NV 89512</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000640-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000640-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 7:19:18,NNN000641,DSC_0099.Trip2.JPG; DSC_0100.Trip2.JPG,"Castaway Inn flag mounted sign, Reno, Nevada","<p>View of a sign on the parking garage for the Circus Circus reading ""Reno"" during the day with unlit neon.</p><p>650 N Sierra St, Reno, NV 89503</p></br>","Durham, Will",XXXX,,"<p>525 W 2nd St, Reno, NV 89503</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000641-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000641-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 7:33:37,NNN000642,DSC_0102.Trip2.JPG; DSC_0104.Trip2.JPG; DSC_0105.Trip2.JPG; DSC_0106.Trip2.JPG; DSC_0107.Trip2.JPG,"Castaway Inn double mounted sign, Reno, Nevada","<p>View of the sign for City Center Motel during the day with unlit neon. The business is closed.</p><p>365 West St, Reno, NV 89501</p></br>","Durham, Will",XXXX,,"<p>525 W 2nd St, Reno, NV 89503</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000642-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000642-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000642-003,,,,,,,,,,,,,,,,,,,,,,,,,,
