did|uuid|url|title|body|citation|lat|lon|thumbnail|service|original
NNN000115|daaad068-f3ca-4249-a89b-059874cdf96a|http://special.library.unlv.edu/ark:/62930/d18p5z37f|"Ferguson's Motel flag mounted pylon sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Ferguson's Motel at night.</p><p>1020 Fremont St, Las Vegas, NV 89101</p></br>"|"NNN000115. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d18p5z37f"|36.16673|-115.134225|http://special.library.unlv.edu/sites/default/files/2021-06/535597-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535597-Service%20File.jpg|
NNN000116|e4469fc9-28f8-48a4-92f4-715a45042802|http://special.library.unlv.edu/ark:/62930/d14x57926|"RitzVegas Motel sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of the RitzVegas Motel at night.</p></br>"|"NNN000116. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d14x57926"|||http://special.library.unlv.edu/sites/default/files/2021-06/535598-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535598-Service%20File.jpg|
NNN000117|d8b2c8bf-c2d7-4e05-a801-61832d1372c3|http://special.library.unlv.edu/ark:/62930/d1154hg6s|"Yucca Motel sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of the Yucca Motel at night.</p></br>"|"NNN000117. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1154hg6s"|||http://special.library.unlv.edu/sites/default/files/2021-06/535599-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535599-Service%20File.jpg|
NNN000118|46ac17f6-250c-4065-91d3-e3b35e3aca68|http://special.library.unlv.edu/ark:/62930/d1wd3sv2w|"La Concha Motel monument sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of La Concha Motel at night.</p><p>2955 S Las Vegas Blvd, Las Vegas, NV 89109</p></br>"|"NNN000118. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1wd3sv2w"|36.134264|-115.162043|http://special.library.unlv.edu/sites/default/files/2021-06/535600-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535600-Service%20File.jpg|
NNN000119|a19af465-09cc-418c-b562-2ba6a7cf994f|http://special.library.unlv.edu/ark:/62930/d1rr1sf00|"El Sombrero Cafe flag mounted sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of El Sombrero Cafe at night.</p></br>"|"NNN000119. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1rr1sf00"|||http://special.library.unlv.edu/sites/default/files/2021-06/535601-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535601-Service%20File.jpg|
NNN000120|a1569d9f-1a5a-454a-a34a-429b7ab53d64|http://special.library.unlv.edu/ark:/62930/d1n012m7d|"Desert Rose Motel monument and marquee signs, Las Vegas, Nevada: photographic print"|"<p>Exterior view of the Desert Rose Motel at night.</p></br>"|"NNN000120. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1n012m7d"|||http://special.library.unlv.edu/sites/default/files/2021-06/535602-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535602-Service%20File.jpg|
NNN000121|90a64344-717d-4c36-b8f6-7dd021f47422|http://special.library.unlv.edu/ark:/62930/d1h70bt38|"Comet Motel sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of the Comet Motel at night.</p></br>"|"NNN000121. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1h70bt38"|||http://special.library.unlv.edu/sites/default/files/2021-06/535603-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535603-Service%20File.jpg|
NNN000122|750eae90-5b2d-433a-8dbf-a04a41bb9ce3|http://special.library.unlv.edu/ark:/62930/d1cf9n10g|"Rangler Motel flag mounted pylon and marquee signs, Las Vegas, Nevada: photographic print"|"<p>Exterior view of the Rangler Motel at night.</p></br>"|"NNN000122. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1cf9n10g"|||http://special.library.unlv.edu/sites/default/files/2021-06/535604-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535604-Service%20File.jpg|
NNN000123|356b12bb-bccb-4c0b-845e-92677c499eac|http://special.library.unlv.edu/ark:/62930/d17p8x676|"Lucky Cuss Motel sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of the Lucky Cuss Motel at night.</p><p>3305 Fremont St, Las Vegas, NV 89104</p></br>"|"NNN000123. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d17p8x676"|36.147799|-115.102417|http://special.library.unlv.edu/sites/default/files/2021-06/535605-Thumbnail%20Image.jpg,http://special.library.unlv.edu/sites/default/files/2021-06/535606-Thumbnail%20Image.jpg,http://special.library.unlv.edu/sites/default/files/2021-06/535607-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535606-Service%20File.jpg,http://special.library.unlv.edu/system/files/2021-06/535607-Service%20File.jpg|
NNN000124|2061ec33-f9df-49d7-bfbf-198140cb4654|http://special.library.unlv.edu/ark:/62930/d1vh5gb5c|"Railroad Pass Casino wall sign, Henderson, Nevada: photographic print"|"<p>Exterior view of the Railroad Pass Casino at night.</p><p>Mission Hills, Henderson, NV 89015</p></br>"|"NNN000124. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1vh5gb5c"|35.97276|-114.911911|http://special.library.unlv.edu/sites/default/files/2021-06/535608-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535608-Service%20File.jpg|
NNN000125|ae19a747-06f9-40ee-b156-bd98a97fb591|http://special.library.unlv.edu/ark:/62930/d1qr4rj2q|"Harry's Cafe flag mounted well and banner signs, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Harry's Cafe at night.</p></br>"|"NNN000125. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1qr4rj2q"|||http://special.library.unlv.edu/sites/default/files/2021-06/535609-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535609-Service%20File.jpg|
NNN000126|7cbdcd05-6eed-40d7-b1af-0c9bcaccea16|http://special.library.unlv.edu/ark:/62930/d1m041q94|"Club Hotel sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of the Club Hotel focusing on the sign at night.</p></br>"|"NNN000126. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1m041q94"|||http://special.library.unlv.edu/sites/default/files/2021-06/535610-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535610-Service%20File.jpg|
NNN000127|16bcba95-8ce0-4be6-99be-816175e8e548|http://special.library.unlv.edu/ark:/62930/d1g739x6g|"Gelo's Lounge marquee sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Gelo's Lounge at night.</p></br>"|"NNN000127. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1g739x6g"|||http://special.library.unlv.edu/sites/default/files/2021-06/535611-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535611-Service%20File.jpg|
NNN000128|c6469e3a-2df3-4225-b5f4-b4959fe01332|http://special.library.unlv.edu/ark:/62930/d1bg2m418|"McCarran International Airport banner signs, Las Vegas, Nevada: photographic print"|"<p>Interior view of the Las Vegas International Airport displaying lit neon signs of terminal shops and executive terminal.</p><p>5757 Wayne Newton Blvd, Las Vegas, NV 89119</p></br>"|"NNN000128. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1bg2m418"|36.084034|-115.153683|http://special.library.unlv.edu/sites/default/files/2021-06/535612-Thumbnail%20Image.jpg,http://special.library.unlv.edu/sites/default/files/2021-06/535613-Thumbnail%20Image.jpg,http://special.library.unlv.edu/sites/default/files/2021-06/535614-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535613-Service%20File.jpg,http://special.library.unlv.edu/system/files/2021-06/535614-Service%20File.jpg|
NNN000129|688fc168-dfa5-4136-be23-8d01d86e221e|http://special.library.unlv.edu/ark:/62930/d1z89578s|"Nifty Market lettering sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Nifty Market at night.</p></br>"|"NNN000129. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1z89578s"|||http://special.library.unlv.edu/sites/default/files/2021-06/535615-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535615-Service%20File.jpg|
NNN000130|e8c0cf1c-46a7-4061-b081-b70e6795dfc7|http://special.library.unlv.edu/ark:/62930/d1th8ff54|"Poppa Joe's restaurant roof mounted and wall signs, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Poppa Joe's restaurant at night.</p></br>"|"NNN000130. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1th8ff54"|||http://special.library.unlv.edu/sites/default/files/2021-06/535616-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535616-Service%20File.jpg|
NNN000131|61912903-0ead-4178-9da3-dc2d247e5cc1|http://special.library.unlv.edu/ark:/62930/d1pr7qn10|"Fong's Garden double mounted pylon sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Fong's Garden at night, detail shot included.</p></br>"|"NNN000131. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1pr7qn10"|||http://special.library.unlv.edu/sites/default/files/2021-06/535617-Thumbnail%20Image.jpg,http://special.library.unlv.edu/sites/default/files/2021-06/535618-Thumbnail%20Image.jpg,http://special.library.unlv.edu/sites/default/files/2021-06/535619-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535618-Service%20File.jpg,http://special.library.unlv.edu/system/files/2021-06/535619-Service%20File.jpg|
NNN000132|baa8a968-d19e-4ecf-82d3-4ed072aea4c4|http://special.library.unlv.edu/ark:/62930/d19g5k68z|"Motel Tropicana lettering sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Motel Tropicana at night.</p></br>"|"NNN000132. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d19g5k68z"|||http://special.library.unlv.edu/sites/default/files/2021-06/535620-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535620-Service%20File.jpg|
NNN000133|dd9673d1-2e7f-445b-a5a9-08a1d5dd28f9|http://special.library.unlv.edu/ark:/62930/d15q4vd59|"Terrible Herbst gas station lettering sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Terrible Herbst gas station at night.</p></br>"|"NNN000133. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d15q4vd59"|||http://special.library.unlv.edu/sites/default/files/2021-06/535621-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535621-Service%20File.jpg|
NNN000134|c34843d1-aae9-4273-9e2c-43d49f7b295f|http://special.library.unlv.edu/ark:/62930/d1222v03q|"Slipper sign, Las Vegas, Nevada: photographic print"|"<p>Detail shot of slipper sign, with lit neon.</p></br>"|"NNN000134. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1222v03q"|||http://special.library.unlv.edu/sites/default/files/2021-06/535622-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535622-Service%20File.jpg|
NNN000135|2ef276e6-4519-462b-8392-4aeb8ad33792|http://special.library.unlv.edu/ark:/62930/d1x924b9k|"Neon Shamrock sign, Las Vegas, Nevada: photographic print"|"<p>Neon shamrock while lit.</p></br>"|"NNN000135. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1x924b9k"|||http://special.library.unlv.edu/sites/default/files/2021-06/535623-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535623-Service%20File.jpg|
NNN000136|834804f5-2658-46f1-8fce-7c2b7f0eacb8|http://special.library.unlv.edu/ark:/62930/d1sj1dj6x|"Racehorse with rider wall mounted sign, Las Vegas, Nevada: photographic print"|"<p>Racehorse with rider neon sign inside a bar.</p></br>"|"NNN000136. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1sj1dj6x"|||http://special.library.unlv.edu/sites/default/files/2021-06/535624-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535624-Service%20File.jpg|
NNN000137|be333eb2-a030-4161-8915-dc63fd73150c|http://special.library.unlv.edu/ark:/62930/d1ns0pr4r|"Roulette wheel with chips sign, Las Vegas, Nevada: photographic print"|"<p>Roulette wheel with chips sign while lit.</p></br>"|"NNN000137. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1ns0pr4r"|||http://special.library.unlv.edu/sites/default/files/2021-06/535625-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535625-Service%20File.jpg|
NNN000138|a661477d-de6e-44dc-9d91-dd83adf34253|http://special.library.unlv.edu/ark:/62930/d1j09zx98|"Davy's Locker sign, Las Vegas, Nevada: photographic print"|"<p>Exterior view of Davy's Locker with lit neon at night.</p><p>1149 E Desert Inn Rd, Las Vegas, NV 89109</p></br>"|"NNN000138. Northern Nevada Neon, 1922-2021. Special Collections and Archives, University Libraries, University of Nevada, Las Vegas. Las Vegas, Nevada. http://n2t.net/ark:/62930/d1j09zx98"|36.129425|-115.138065|http://special.library.unlv.edu/sites/default/files/2021-06/535626-Thumbnail%20Image.jpg|http://special.library.unlv.edu/system/files/2021-06/535626-Service%20File.jpg|
